ОТЧЕТ О СЛОВОФОРМАХ С НЕСКОЛЬКИМИ ВАРИАНТАМИ УДАРЕНИЙ
=========================================================

№1    | Инфинитив: adaptúoti           | Форма: "adaptuotume" (Mes     ) | Варианты: adaptuotumè / adaptúotume
№388  | Инфинитив: blỹkšti             | Форма: "blyksdavo" (Jis/ji  ) | Варианты: blỹkšdavo / blỹkšdavo / blýkšdavo
№389  | Инфинитив: blỹkšti             | Форма: "blyksdavome" (Mes     ) | Варианты: blỹkšdavome / blýkšdavome
№390  | Инфинитив: blỹkšti             | Форма: "blyksdavote" (Jūs     ) | Варианты: blỹkšdavote / blýkšdavote
№391  | Инфинитив: bráižyti            | Форма: "braizau" (Aš      ) | Варианты: braižaũ / bráižau / braižaũ
№392  | Инфинитив: bráižyti            | Форма: "braizai" (Tu      ) | Варианты: braižaĩ / bráižai / braižaĩ
№393  | Инфинитив: bráižyti            | Форма: "braizo" (Jis/ji  ) | Варианты: braĩžo / bráižo / braĩžo
№394  | Инфинитив: bráižyti            | Форма: "braizome" (Mes     ) | Варианты: braĩžome / bráižome / braĩžome
№395  | Инфинитив: bráižyti            | Форма: "braizote" (Jūs     ) | Варианты: braĩžote / bráižote / braĩžote
№396  | Инфинитив: bráižyti            | Форма: "braiziau" (Aš      ) | Варианты: braižiaũ / bráižiau / braižiaũ
№397  | Инфинитив: bráižyti            | Форма: "braizei" (Tu      ) | Варианты: bráižei / braižeĩ
№398  | Инфинитив: bráižyti            | Форма: "braize" (Jis/ji  ) | Варианты: braĩžė / bráižė / braĩžė
№399  | Инфинитив: bráižyti            | Форма: "braizeme" (Mes     ) | Варианты: braĩžėme / bráižėme / braĩžėme
№400  | Инфинитив: bráižyti            | Форма: "braizete" (Jūs     ) | Варианты: bráižėte / braĩžėte
№401  | Инфинитив: bráižyti            | Форма: "braizysiu" (Aš      ) | Варианты: bráižysiu / braižýsiu
№402  | Инфинитив: bráižyti            | Форма: "braizysi" (Tu      ) | Варианты: bráižysi / braižýsi
№403  | Инфинитив: bráižyti            | Форма: "braizys" (Jis/ji  ) | Варианты: bráižys / braižỹs
№404  | Инфинитив: bráižyti            | Форма: "braizysime" (Mes     ) | Варианты: bráižysime / braižýsime
№405  | Инфинитив: bráižyti            | Форма: "braizysite" (Jūs     ) | Варианты: bráižysite / braižýsite
№406  | Инфинитив: bráižyti            | Форма: "braizyciau" (Aš      ) | Варианты: bráižyčiau / braižýčiau
№407  | Инфинитив: bráižyti            | Форма: "braizytum" (Tu      ) | Варианты: bráižytum / braižýtum
№408  | Инфинитив: bráižyti            | Форма: "braizytu" (Jis/ji  ) | Варианты: braižýtų / bráižytų / braižýtų
№409  | Инфинитив: bráižyti            | Форма: "braizytume" (Mes     ) | Варианты: bráižytume / braižýtume
№410  | Инфинитив: bráižyti            | Форма: "braizytute" (Jūs     ) | Варианты: bráižytute / braižýtute
№411  | Инфинитив: bráižyti            | Форма: "braizyk" (Tu      ) | Варианты: bráižyk / braižýk
№412  | Инфинитив: bráižyti            | Форма: "braizykite" (Jūs     ) | Варианты: bráižykite / braižýkite
№413  | Инфинитив: bráižyti            | Форма: "braizydavau" (Aš      ) | Варианты: braižýdavau / bráižydavau / braižýdavau
№414  | Инфинитив: bráižyti            | Форма: "braizydavai" (Tu      ) | Варианты: bráižydavai / braižýdavai
№415  | Инфинитив: bráižyti            | Форма: "braizydavo" (Jis/ji  ) | Варианты: braižýdavo / bráižydavo / braižýdavo
№416  | Инфинитив: bráižyti            | Форма: "braizydavome" (Mes     ) | Варианты: bráižydavome / braižýdavome
№417  | Инфинитив: bráižyti            | Форма: "braizydavote" (Jūs     ) | Варианты: bráižydavote / braižýdavote
№418  | Инфинитив: bránginti           | Форма: "branginote" (Jūs     ) | Варианты: bránginote / brañginote
№419  | Инфинитив: bránginti           | Форма: "branginsi" (Tu      ) | Варианты: bránginsi / brañginsi
№420  | Инфинитив: bránginti           | Форма: "branginciau" (Aš      ) | Варианты: branginčiaũ / bránginčiau / brañginčiau
№421  | Инфинитив: bránginti           | Форма: "brangintum" (Tu      ) | Варианты: brángintum / brañgintum
№422  | Инфинитив: bránginti           | Форма: "brangintu" (Jis/ji  ) | Варианты: brangìntų / brángintų / brañgintų
№423  | Инфинитив: bránginti           | Форма: "brangintute" (Jūs     ) | Варианты: brángintute / brañgintute
№424  | Инфинитив: bránginti           | Форма: "brangindavai" (Tu      ) | Варианты: brángindavai / brañgindavai
№425  | Инфинитив: bránginti           | Форма: "brangindavote" (Jūs     ) | Варианты: brángindavote / brañgindavote
№426  | Инфинитив: brángti             | Форма: "brangstu" (Aš      ) | Варианты: brángstu / brangstù
№427  | Инфинитив: brángti             | Форма: "brangstame" (Mes     ) | Варианты: brángstame / brañgstame
№428  | Инфинитив: brángti             | Форма: "brangstate" (Jūs     ) | Варианты: brángstate / brañgstate
№429  | Инфинитив: brángti             | Форма: "brangau" (Aš      ) | Варианты: brángau / brangaũ
№430  | Инфинитив: brángti             | Форма: "brangai" (Tu      ) | Варианты: brángai / brangaĩ
№431  | Инфинитив: brángti             | Форма: "brangome" (Mes     ) | Варианты: brángome / brañgome
№432  | Инфинитив: brángti             | Форма: "brangote" (Jūs     ) | Варианты: brángote / brañgote
№433  | Инфинитив: brángti             | Форма: "brangsiu" (Aš      ) | Варианты: brángsiu / brañgsiu
№434  | Инфинитив: brángti             | Форма: "brangsi" (Tu      ) | Варианты: brángsi / brañgsi
№435  | Инфинитив: brángti             | Форма: "brangsime" (Mes     ) | Варианты: brángsime / brañgsime
№436  | Инфинитив: brángti             | Форма: "brangsite" (Jūs     ) | Варианты: brángsite / brañgsite
№437  | Инфинитив: brángti             | Форма: "brangciau" (Aš      ) | Варианты: brángčiau / brañgčiau
№438  | Инфинитив: brángti             | Форма: "brangtum" (Tu      ) | Варианты: brángtum / brañgtum
№439  | Инфинитив: brángti             | Форма: "brangtu" (Jis/ji  ) | Варианты: brángtų / brángtų / brañgtų
№440  | Инфинитив: brángti             | Форма: "brangtume" (Mes     ) | Варианты: brángtume / brañgtume
№441  | Инфинитив: brángti             | Форма: "brangtute" (Jūs     ) | Варианты: brángtute / brañgtute
№442  | Инфинитив: brángti             | Форма: "brank" (Tu      ) | Варианты: bránk / brañk
№443  | Инфинитив: brángti             | Форма: "brankite" (Jūs     ) | Варианты: bránkite / brañkite
№444  | Инфинитив: brángti             | Форма: "brangdavau" (Aš      ) | Варианты: brángdavau / brañgdavau
№445  | Инфинитив: brángti             | Форма: "brangdavai" (Tu      ) | Варианты: brángdavai / brañgdavai
№446  | Инфинитив: brángti             | Форма: "brangdavo" (Jis/ji  ) | Варианты: brángdavo / brañgdavo
№447  | Инфинитив: brángti             | Форма: "brangdavome" (Mes     ) | Варианты: brángdavome / brañgdavome
№448  | Инфинитив: brángti             | Форма: "brangdavote" (Jūs     ) | Варианты: brángdavote / brañgdavote
№449  | Инфинитив: braũkti             | Форма: "brauktu" (Jis/ji  ) | Варианты: brauktų̃ / braũktų
№450  | Инфинитив: brė́žti              | Форма: "breziu" (Aš      ) | Варианты: brėžiù / brė́žiu / brėžiù
№451  | Инфинитив: brė́žti              | Форма: "brezi" (Tu      ) | Варианты: brė́ži / brėžì
№452  | Инфинитив: brė́žti              | Форма: "brezia" (Jis/ji  ) | Варианты: brė́žia / brė̃žia
№453  | Инфинитив: brė́žti              | Форма: "breziame" (Mes     ) | Варианты: brė́žiame / brė̃žiame
№454  | Инфинитив: brė́žti              | Форма: "breziate" (Jūs     ) | Варианты: brė́žiate / brė̃žiate
№455  | Инфинитив: brė́žti              | Форма: "breziau" (Aš      ) | Варианты: brė́žiau / brėžiaũ
№456  | Инфинитив: brė́žti              | Форма: "brezei" (Tu      ) | Варианты: brė́žei / brėžeĩ
№457  | Инфинитив: brė́žti              | Форма: "breze" (Jis/ji  ) | Варианты: brė́žė / brė̃žė
№458  | Инфинитив: brė́žti              | Форма: "brezeme" (Mes     ) | Варианты: brė́žėme / brė̃žėme
№459  | Инфинитив: brė́žti              | Форма: "brezete" (Jūs     ) | Варианты: brė́žėte / brė̃žėte
№460  | Инфинитив: brė́žti              | Форма: "bresiu" (Aš      ) | Варианты: brė́šiu / brė̃šiu
№461  | Инфинитив: brė́žti              | Форма: "bresi" (Tu      ) | Варианты: brė́ši / brė̃ši
№462  | Инфинитив: brė́žti              | Форма: "bresime" (Mes     ) | Варианты: brė́šime / brė̃šime
№463  | Инфинитив: brė́žti              | Форма: "bresite" (Jūs     ) | Варианты: brė́šite / brė̃šite
№464  | Инфинитив: brė́žti              | Форма: "brezciau" (Aš      ) | Варианты: brė́žčiau / brė̃žčiau
№465  | Инфинитив: brė́žti              | Форма: "breztum" (Tu      ) | Варианты: brė́žtum / brė̃žtum
№466  | Инфинитив: brė́žti              | Форма: "breztu" (Jis/ji  ) | Варианты: brė̃žtų / brė́žtų
№467  | Инфинитив: brė́žti              | Форма: "breztume" (Mes     ) | Варианты: brėžtumè / brė́žtume / brė̃žtume
№468  | Инфинитив: brė́žti              | Форма: "breztute" (Jūs     ) | Варианты: brė́žtute / brė̃žtute
№469  | Инфинитив: brė́žti              | Форма: "brezk" (Tu      ) | Варианты: brė́žk / brė̃žk
№470  | Инфинитив: brė́žti              | Форма: "brezkite" (Jūs     ) | Варианты: brė́žkite / brė̃žkite
№471  | Инфинитив: brė́žti              | Форма: "brezdavau" (Aš      ) | Варианты: brė́ždavau / brė̃ždavau
№472  | Инфинитив: brė́žti              | Форма: "brezdavai" (Tu      ) | Варианты: brė́ždavai / brė̃ždavai
№473  | Инфинитив: brė́žti              | Форма: "brezdavo" (Jis/ji  ) | Варианты: brė́ždavo / brė̃ždavo
№474  | Инфинитив: brė́žti              | Форма: "brezdavome" (Mes     ) | Варианты: brė́ždavome / brė̃ždavome
№475  | Инфинитив: brė́žti              | Форма: "brezdavote" (Jūs     ) | Варианты: brė́ždavote / brė̃ždavote
№476  | Инфинитив: brìnkti             | Форма: "brinkstu" (Aš      ) | Варианты: brìnkstu / brinkstù
№477  | Инфинитив: brìnkti             | Форма: "brinksti" (Tu      ) | Варианты: brìnksti / brinkstì
№478  | Инфинитив: brìnkti             | Форма: "brinkstame" (Mes     ) | Варианты: brìnkstame / briñkstame
№479  | Инфинитив: brìnkti             | Форма: "brinkstate" (Jūs     ) | Варианты: brìnkstate / briñkstate
№480  | Инфинитив: brìnkti             | Форма: "brinkau" (Aš      ) | Варианты: brìnkau / brinkaũ
№481  | Инфинитив: brìnkti             | Форма: "brinkai" (Tu      ) | Варианты: brìnkai / brinkaĩ
№482  | Инфинитив: brìnkti             | Форма: "brinkome" (Mes     ) | Варианты: brìnkome / briñkome
№483  | Инфинитив: brìnkti             | Форма: "brinkote" (Jūs     ) | Варианты: brìnkote / briñkote
№484  | Инфинитив: brìnkti             | Форма: "brinksiu" (Aš      ) | Варианты: brìnksiu / briñksiu
№485  | Инфинитив: brìnkti             | Форма: "brinksi" (Tu      ) | Варианты: brìnksi / briñksi
№486  | Инфинитив: brìnkti             | Форма: "brinksime" (Mes     ) | Варианты: brìnksime / briñksime
№487  | Инфинитив: brìnkti             | Форма: "brinksite" (Jūs     ) | Варианты: brìnksite / briñksite
№488  | Инфинитив: brìnkti             | Форма: "brinkciau" (Aš      ) | Варианты: brìnkčiau / briñkčiau
№489  | Инфинитив: brìnkti             | Форма: "brinktum" (Tu      ) | Варианты: brìnktum / briñktum
№490  | Инфинитив: brìnkti             | Форма: "brinktu" (Jis/ji  ) | Варианты: brìnktų / briñktų
№491  | Инфинитив: brìnkti             | Форма: "brinktume" (Mes     ) | Варианты: brìnktume / briñktume
№492  | Инфинитив: brìnkti             | Форма: "brinktute" (Jūs     ) | Варианты: brìnktute / briñktute
№493  | Инфинитив: brìnkti             | Форма: "brinkite" (Jūs     ) | Варианты: brìnkite / briñkite
№494  | Инфинитив: brìnkti             | Форма: "brinkdavau" (Aš      ) | Варианты: brìnkdavau / briñkdavau
№495  | Инфинитив: brìnkti             | Форма: "brinkdavai" (Tu      ) | Варианты: brìnkdavai / briñkdavai
№496  | Инфинитив: brìnkti             | Форма: "brinkdavo" (Jis/ji  ) | Варианты: brìnkdavo / briñkdavo
№497  | Инфинитив: brìnkti             | Форма: "brinkdavome" (Mes     ) | Варианты: brìnkdavome / briñkdavome
№498  | Инфинитив: brìnkti             | Форма: "brinkdavote" (Jūs     ) | Варианты: brìnkdavote / briñkdavote
№499  | Инфинитив: bučiúoti           | Форма: "buciuociau" (Aš      ) | Варианты: bučiuočiaũ / bučiúočiau
№500  | Инфинитив: bučiúotis          | Форма: "buciuosis" (Jis/ji  ) | Варианты: bučiúosis / bučiuõsis
№501  | Инфинитив: budė́ti              | Форма: "budeciau" (Aš      ) | Варианты: budėčiaũ / budė́čiau
№502  | Инфинитив: bùdinti             | Форма: "budinciau" (Aš      ) | Варианты: budinčiaũ / bùdinčiau
№503  | Инфинитив: bùsti               | Форма: "bustu" (Jis/ji  ) | Варианты: bustų̃ / bùstų
№504  | Инфинитив: bū́ti               | Форма: "buciau" (Aš      ) | Варианты: būčiaũ / bū́čiau
№505  | Инфинитив: bylinė́tis           | Форма: "bylinesis" (Jis/ji  ) | Варианты: bylinė́sis / bylinė̃sis
№506  | Инфинитив: bylinė́tis           | Форма: "bylineciausi" (Aš      ) | Варианты: bylinėčiáusi / bylinė́čiausi
№507  | Инфинитив: citúoti             | Форма: "cituociau" (Aš      ) | Варианты: cituočiaũ / citúočiau
№508  | Инфинитив: čiulbė́ti            | Форма: "ciulbeciau" (Aš      ) | Варианты: čiulbėčiaũ / čiulbė́čiau
№509  | Инфинитив: čiul̃pti             | Форма: "ciulpsi" (Tu      ) | Варианты: čiùlpsi / čiul̃psi
№510  | Инфинитив: čiul̃pti             | Форма: "ciulpciau" (Aš      ) | Варианты: čiulpčiaũ / čiul̃pčiau
№511  | Инфинитив: čiul̃pti             | Форма: "ciulptu" (Jis/ji  ) | Варианты: čiulptų̃ / čiul̃ptų
№512  | Инфинитив: čiuõžti             | Форма: "ciuoztu" (Jis/ji  ) | Варианты: čiuožtų̃ / čiuõžtų
№513  | Инфинитив: čiùpti              | Форма: "ciupciau" (Aš      ) | Варианты: čiupčiaũ / čiùpčiau
№514  | Инфинитив: čiùpti              | Форма: "ciuptu" (Jis/ji  ) | Варианты: čiuptų̃ / čiùptų
№515  | Инфинитив: čiùpti              | Форма: "ciuptume" (Mes     ) | Варианты: čiuptumè / čiùptume
№516  | Инфинитив: civilizúoti         | Форма: "civilizuociau" (Aš      ) | Варианты: civilizuočiaũ / civilizúočiau
№517  | Инфинитив: cỹpti               | Форма: "cyptu" (Jis/ji  ) | Варианты: cyptų̃ / cỹptų
№518  | Инфинитив: dailė́ti             | Форма: "dailes" (Jis/ji  ) | Варианты: dailė̃s / daĩlės
№519  | Инфинитив: dainúoti            | Форма: "dainuociau" (Aš      ) | Варианты: dainuočiaũ / dainúočiau
№520  | Инфинитив: dalìnti             | Форма: "dalinciau" (Aš      ) | Варианты: dalinčiaũ / dalìnčiau
№521  | Инфинитив: dalýti              | Форма: "dalyciau" (Aš      ) | Варианты: dalyčiaũ / dalýčiau
№522  | Инфинитив: darýti              | Форма: "daryciau" (Aš      ) | Варианты: daryčiaũ / darýčiau
№523  | Инфинитив: daugė́ti             | Форма: "dauges" (Jis/ji  ) | Варианты: daũgės / daugė̃s
№524  | Инфинитив: daũžti              | Форма: "dauztu" (Jis/ji  ) | Варианты: daužtų̃ / daũžtų
№525  | Инфинитив: dažýti             | Форма: "dazyciau" (Aš      ) | Варианты: dažyčiaũ / dažýčiau
№526  | Инфинитив: dažýti             | Форма: "dazytume" (Mes     ) | Варианты: dažytumè / dažýtume
№527  | Инфинитив: dègti               | Форма: "degciau" (Aš      ) | Варианты: degčiaũ / dègčiau
№528  | Инфинитив: dėkóti             | Форма: "dekos" (Jis/ji  ) | Варианты: dėkõs / dė̃kos
№529  | Инфинитив: dėkóti             | Форма: "dekociau" (Aš      ) | Варианты: dėkočiaũ / dėkóčiau
№530  | Инфинитив: dėlióti             | Форма: "deliotume" (Mes     ) | Варианты: dėliotumè / dėliótume
№531  | Инфинитив: dėmė́ti              | Форма: "demes" (Jis/ji  ) | Варианты: dėmė̃s / dė̃mės
№532  | Инфинитив: demonstrúoti        | Форма: "demonstruociau" (Aš      ) | Варианты: demonstruočiaũ / demonstrúočiau
№533  | Инфинитив: derė́tis             | Форма: "deresis" (Jis/ji  ) | Варианты: derė́sis / derė̃sis
№534  | Инфинитив: dérgti              | Форма: "dergiu" (Aš      ) | Варианты: dérgiu / dergiù
№535  | Инфинитив: dérgti              | Форма: "dergi" (Tu      ) | Варианты: dérgi / dergì
№536  | Инфинитив: dérgti              | Форма: "dergiame" (Mes     ) | Варианты: dérgiame / der̃giame
№537  | Инфинитив: dérgti              | Форма: "dergiate" (Jūs     ) | Варианты: dérgiate / der̃giate
№538  | Инфинитив: dérgti              | Форма: "dergiau" (Aš      ) | Варианты: dérgiau / dergiaũ
№539  | Инфинитив: dérgti              | Форма: "dergei" (Tu      ) | Варианты: dérgei / dergeĩ
№540  | Инфинитив: dérgti              | Форма: "derge" (Jis/ji  ) | Варианты: dérgė / dérgė / der̃gė
№541  | Инфинитив: dérgti              | Форма: "dergeme" (Mes     ) | Варианты: dérgėme / der̃gėme
№542  | Инфинитив: dérgti              | Форма: "dergete" (Jūs     ) | Варианты: dérgėte / der̃gėte
№543  | Инфинитив: dérgti              | Форма: "dergsiu" (Aš      ) | Варианты: dérgsiu / der̃gsiu
№544  | Инфинитив: dérgti              | Форма: "dergsime" (Mes     ) | Варианты: dérgsime / der̃gsime
№545  | Инфинитив: dérgti              | Форма: "dergsite" (Jūs     ) | Варианты: dérgsite / der̃gsite
№546  | Инфинитив: dérgti              | Форма: "dergciau" (Aš      ) | Варианты: dérgčiau / der̃gčiau
№547  | Инфинитив: dérgti              | Форма: "dergtum" (Tu      ) | Варианты: dérgtum / der̃gtum
№548  | Инфинитив: dérgti              | Форма: "dergtu" (Jis/ji  ) | Варианты: dergtų̃ / dérgtų / der̃gtų
№549  | Инфинитив: dérgti              | Форма: "dergtume" (Mes     ) | Варианты: dérgtume / der̃gtume
№550  | Инфинитив: dérgti              | Форма: "dergtute" (Jūs     ) | Варианты: dérgtute / der̃gtute
№551  | Инфинитив: dérgti              | Форма: "derk" (Tu      ) | Варианты: dérk / der̃k
№552  | Инфинитив: dérgti              | Форма: "derkite" (Jūs     ) | Варианты: dérkite / der̃kite
№553  | Инфинитив: dérgti              | Форма: "dergdavau" (Aš      ) | Варианты: dérgdavau / der̃gdavau
№554  | Инфинитив: dérgti              | Форма: "dergdavai" (Tu      ) | Варианты: dérgdavai / der̃gdavai
№555  | Инфинитив: dérgti              | Форма: "dergdavo" (Jis/ji  ) | Варианты: dérgdavo / der̃gdavo
№556  | Инфинитив: dérgti              | Форма: "dergdavome" (Mes     ) | Варианты: dérgdavome / der̃gdavome
№557  | Инфинитив: dérgti              | Форма: "dergdavote" (Jūs     ) | Варианты: dérgdavote / der̃gdavote
№558  | Инфинитив: dẽrinti             | Форма: "derinciau" (Aš      ) | Варианты: derinčiaũ / dẽrinčiau
№559  | Инфинитив: dė́styti             | Форма: "destyciau" (Aš      ) | Варианты: dėstyčiaũ / dė́styčiau
№560  | Инфинитив: dė́ti                | Форма: "deciau" (Aš      ) | Варианты: dėčiaũ / dė́čiau
№561  | Инфинитив: dė́ti                | Форма: "detu" (Jis/ji  ) | Варианты: dėtų̃ / dė́tų
№562  | Инфинитив: dė́ti                | Форма: "detume" (Mes     ) | Варианты: dėtumè / dė́tume
№563  | Инфинитив: dė́tis               | Форма: "desis" (Jis/ji  ) | Варианты: dė́sis / dė̃sis
№564  | Инфинитив: dėvė́ti             | Форма: "devetume" (Mes     ) | Варианты: dėvėtumè / dėvė́tume
№565  | Инфинитив: dėvė́tis             | Форма: "devesis" (Jis/ji  ) | Варианты: dėvė́sis / dėvė̃sis
№566  | Инфинитив: didžiúotis          | Форма: "didziuosis" (Jis/ji  ) | Варианты: didžiúosis / didžiuõsis
№567  | Инфинитив: diẽvinti            | Форма: "dievinciau" (Aš      ) | Варианты: dievinčiaũ / diẽvinčiau
№568  | Инфинитив: dìrbti              | Форма: "dirbciau" (Aš      ) | Варианты: dirbčiaũ / dìrbčiau
№569  | Инфинитив: dìrginti            | Форма: "dirginciau" (Aš      ) | Варианты: dirginčiaũ / dìrginčiau
№570  | Инфинитив: diskutúoti          | Форма: "diskutuociau" (Aš      ) | Варианты: diskutuočiaũ / diskutúočiau
№571  | Инфинитив: dóbti               | Форма: "dobiu" (Aš      ) | Варианты: dóbiu / dobiù
№572  | Инфинитив: dóbti               | Форма: "dobiame" (Mes     ) | Варианты: dóbiame / dõbiame
№573  | Инфинитив: dóbti               | Форма: "dobiate" (Jūs     ) | Варианты: dóbiate / dõbiate
№574  | Инфинитив: dóbti               | Форма: "dobiau" (Aš      ) | Варианты: dóbiau / dobiaũ
№575  | Инфинитив: dóbti               | Форма: "dobei" (Tu      ) | Варианты: dóbei / dobeĩ
№576  | Инфинитив: dóbti               | Форма: "dobe" (Jis/ji  ) | Варианты: dóbė / dõbė
№577  | Инфинитив: dóbti               | Форма: "dobeme" (Mes     ) | Варианты: dóbėme / dõbėme
№578  | Инфинитив: dóbti               | Форма: "dobete" (Jūs     ) | Варианты: dóbėte / dõbėte
№579  | Инфинитив: dóbti               | Форма: "dobsiu" (Aš      ) | Варианты: dóbsiu / dõbsiu
№580  | Инфинитив: dóbti               | Форма: "dobsi" (Tu      ) | Варианты: dóbsi / dõbsi
№581  | Инфинитив: dóbti               | Форма: "dobsime" (Mes     ) | Варианты: dóbsime / dõbsime
№582  | Инфинитив: dóbti               | Форма: "dobsite" (Jūs     ) | Варианты: dóbsite / dõbsite
№583  | Инфинитив: dóbti               | Форма: "dobciau" (Aš      ) | Варианты: dóbčiau / dõbčiau
№584  | Инфинитив: dóbti               | Форма: "dobtum" (Tu      ) | Варианты: dóbtum / dõbtum
№585  | Инфинитив: dóbti               | Форма: "dobtu" (Jis/ji  ) | Варианты: dóbtų / dõbtų
№586  | Инфинитив: dóbti               | Форма: "dobtume" (Mes     ) | Варианты: dóbtume / dõbtume
№587  | Инфинитив: dóbti               | Форма: "dobtute" (Jūs     ) | Варианты: dóbtute / dõbtute
№588  | Инфинитив: dóbti               | Форма: "dobk" (Tu      ) | Варианты: dóbk / dõbk
№589  | Инфинитив: dóbti               | Форма: "dobkite" (Jūs     ) | Варианты: dóbkite / dõbkite
№590  | Инфинитив: dóbti               | Форма: "dobdavai" (Tu      ) | Варианты: dóbdavai / dõbdavai
№591  | Инфинитив: dóbti               | Форма: "dobdavome" (Mes     ) | Варианты: dóbdavome / dõbdavome
№592  | Инфинитив: dóbti               | Форма: "dobdavote" (Jūs     ) | Варианты: dóbdavote / dõbdavote
№593  | Инфинитив: domė́tis             | Форма: "domesis" (Jis/ji  ) | Варианты: domė́sis / domė̃sis
№594  | Инфинитив: domė́tis             | Форма: "domeciausi" (Aš      ) | Варианты: domėčiáusi / domė́čiausi
№595  | Инфинитив: dovanóti            | Форма: "dovanociau" (Aš      ) | Варианты: dovanočiaũ / dovanóčiau
№596  | Инфинитив: drą́sinti            | Форма: "drasinciau" (Aš      ) | Варианты: drąsinčiaũ / drą́sinčiau
№597  | Инфинитив: draskýti            | Форма: "draskyciau" (Aš      ) | Варианты: draskyčiaũ / draskýčiau
№598  | Инфинитив: draugáuti           | Форма: "draugauciau" (Aš      ) | Варианты: draugaučiaũ / draugáučiau
№599  | Инфинитив: draũsti             | Форма: "drausciau" (Aš      ) | Варианты: drausčiaũ / draũsčiau
№600  | Инфинитив: draũsti             | Форма: "draustu" (Jis/ji  ) | Варианты: draustų̃ / draũstų
№601  | Инфинитив: drebė́ti             | Форма: "drebeciau" (Aš      ) | Варианты: drebėčiaũ / drebė́čiau
№602  | Инфинитив: drė̃bti              | Форма: "drebtu" (Jis/ji  ) | Варианты: drėbtų̃ / drė̃btų
№603  | Инфинитив: drė̃ksti             | Форма: "drekstu" (Jis/ji  ) | Варианты: drėkstų̃ / drė̃kstų
№604  | Инфинитив: drė́kti              | Форма: "dreksti" (Tu      ) | Варианты: drė̃ksti / drė́ksti
№605  | Инфинитив: drį̃sti              | Форма: "dristi" (Tu      ) | Варианты: drį̃sti / drįstì
№606  | Инфинитив: drį̃sti              | Форма: "drisime" (Mes     ) | Варианты: drįsimè / drį̃sime
№607  | Инфинитив: drovė́tis            | Форма: "drovesis" (Jis/ji  ) | Варианты: drovė́sis / drovė̃sis
№608  | Инфинитив: dróžti              | Форма: "droziu" (Aš      ) | Варианты: dróžiu / dróžiu / drožiù
№609  | Инфинитив: dróžti              | Форма: "drozi" (Tu      ) | Варианты: dróži / dróži / drožì
№610  | Инфинитив: dróžti              | Форма: "drozia" (Jis/ji  ) | Варианты: dróžia / dróžia / drõžia
№611  | Инфинитив: dróžti              | Форма: "droziame" (Mes     ) | Варианты: dróžiame / dróžiame / drõžiame
№612  | Инфинитив: dróžti              | Форма: "droziate" (Jūs     ) | Варианты: dróžiate / dróžiate / drõžiate
№613  | Инфинитив: dróžti              | Форма: "droziau" (Aš      ) | Варианты: dróžiau / dróžiau / drožiaũ
№614  | Инфинитив: dróžti              | Форма: "drozei" (Tu      ) | Варианты: dróžei / drožeĩ
№615  | Инфинитив: dróžti              | Форма: "droze" (Jis/ji  ) | Варианты: dróžė / dróžė / drõžė
№616  | Инфинитив: dróžti              | Форма: "drozeme" (Mes     ) | Варианты: dróžėme / dróžėme / drõžėme
№617  | Инфинитив: dróžti              | Форма: "drozete" (Jūs     ) | Варианты: dróžėte / drõžėte
№618  | Инфинитив: dróžti              | Форма: "drosiu" (Aš      ) | Варианты: dróšiu / dróšiu / drõšiu
№619  | Инфинитив: dróžti              | Форма: "drosi" (Tu      ) | Варианты: dróši / dróši / drõši
№620  | Инфинитив: dróžti              | Форма: "drosime" (Mes     ) | Варианты: dróšime / drõšime
№621  | Инфинитив: dróžti              | Форма: "drosite" (Jūs     ) | Варианты: dróšite / drõšite
№622  | Инфинитив: dróžti              | Форма: "drozciau" (Aš      ) | Варианты: dróžčiau / drõžčiau
№623  | Инфинитив: dróžti              | Форма: "droztum" (Tu      ) | Варианты: dróžtum / dróžtum / drõžtum
№624  | Инфинитив: dróžti              | Форма: "droztu" (Jis/ji  ) | Варианты: drožtų̃ / dróžtų / drõžtų
№625  | Инфинитив: dróžti              | Форма: "droztume" (Mes     ) | Варианты: dróžtume / drõžtume
№626  | Инфинитив: dróžti              | Форма: "droztute" (Jūs     ) | Варианты: dróžtute / drõžtute
№627  | Инфинитив: dróžti              | Форма: "drozk" (Tu      ) | Варианты: dróžk / dróžk / drõžk
№628  | Инфинитив: dróžti              | Форма: "drozkite" (Jūs     ) | Варианты: dróžkite / dróžkite / drõžkite
№629  | Инфинитив: dróžti              | Форма: "drozdavau" (Aš      ) | Варианты: dróždavau / dróždavau / drõždavau
№630  | Инфинитив: dróžti              | Форма: "drozdavai" (Tu      ) | Варианты: dróždavai / drõždavai
№631  | Инфинитив: dróžti              | Форма: "drozdavo" (Jis/ji  ) | Варианты: dróždavo / dróždavo / drõždavo
№632  | Инфинитив: dróžti              | Форма: "drozdavome" (Mes     ) | Варианты: dróždavome / drõždavome
№633  | Инфинитив: dróžti              | Форма: "drozdavote" (Jūs     ) | Варианты: dróždavote / drõždavote
№634  | Инфинитив: drybsóti            | Форма: "drybsome" (Mes     ) | Варианты: drỹbsome / drýbsome
№635  | Инфинитив: drybsóti            | Форма: "drybsote" (Jūs     ) | Варианты: drỹbsote / drýbsote
№636  | Инфинитив: dùmti               | Форма: "dumtu" (Jis/ji  ) | Варианты: dumtų̃ / dùmtų
